Set,Uzk_1,Uztwm_1,Uzfwm_1,Rexp_1,Lztwm_1,Uzk_2,Uztwm_2,Uzfwm_2,Rexp_2,Lztwm_2
1,0.746369555,221.4143508,22.79685265,1.543957557,703.6877835,1.281366071,101.6400888,92.09975838,4.386765837,486.7851052
2,1.22928464,133.141423,82.14249748,1.501233004,773.5246233,0.715248971,150.8464594,56.70977458,3.043211455,99.80351151
3,0.615280705,208.5145292,65.96350389,4.886370681,358.2734053,0.376136542,242.3675856,78.71274172,1.126590463,374.3933256
4,1.108173615,114.4901305,15.42351219,2.128472997,547.1413141,1.134253311,178.3047808,41.84951385,2.700630139,708.8499818
5,1.313246009,85.70680361,81.31306756,4.931730436,297.4021956,0.778643384,207.4870308,13.98162746,2.813959033,156.7202477
6,0.478580366,238.7219545,66.15816561,4.168350633,569.0576234,1.46982283,133.7731741,59.64723755,0.703477394,141.6041598
7,0.40376247,148.5649167,81.4915596,3.246168611,676.3240841,1.196416755,241.6818993,18.00241404,4.838151799,628.711721
8,0.490664987,236.1817298,10.26226616,1.67055433,635.6959448,0.124143668,42.02593459,21.84774223,2.003752299,568.5051408
9,0.933736743,84.10670449,36.92445721,2.313213594,295.357239,0.97628125,35.32844363,22.09827778,2.67806459,299.6266369
10,0.769510288,40.24971534,82.95132261,4.545023072,316.9963675,0.965700498,181.5385905,38.78552621,1.581516214,651.2465076
11,0.701814756,119.4922563,56.97841111,0.883209078,100.9310993,1.258197699,45.4613011,75.6797984,2.260864228,594.5320061
12,0.824179556,125.5549037,86.52679218,1.505531476,477.2509964,0.582844739,220.2259283,9.747538295,0.94350167,354.960048
13,1.273722334,198.3174069,65.56856233,2.710669415,400.2039921,1.375907959,228.9232569,54.19585772,0.785132761,669.2912885
14,1.13055206,137.7238379,59.16692448,0.616311622,411.5996097,1.472569921,209.5702421,26.92824783,0.80011499,198.2416395
15,1.421716592,248.2736493,12.29625314,3.742468826,753.1464502,0.401351159,207.9912863,56.19261449,0.889097121,405.7209703
16,0.983049512,130.6549406,59.30933565,3.436179245,254.8003949,0.377581699,149.6652963,17.54687494,3.857710869,441.3542183
17,0.329358055,60.63946815,5.297359716,2.931377701,390.591861,1.157881325,116.8261254,81.42607704,1.099732316,63.27895023
18,1.380416134,211.0232491,79.83464875,2.520473424,604.2460121,1.48099007,162.5275903,71.72928637,2.343781597,190.6437617
19,1.437450225,57.53140749,19.93787112,3.570344324,226.7625827,0.561560162,120.3866047,66.76022874,1.187460728,471.5441576
20,0.957279549,187.4104191,78.19944785,2.738156328,31.47615629,0.464328696,107.5792427,56.04832012,2.088449827,449.5329345
21,0.825251944,58.88156871,24.23894966,4.673304394,186.9995228,0.514999209,199.7595403,46.29213476,4.969396009,726.2182779
22,0.631545664,115.2040981,27.63734394,1.153223809,185.6479878,1.056304071,56.02941714,98.27821266,4.737332435,529.6452428
23,1.432688678,226.6430041,66.02237931,1.25352807,327.7507271,0.135591938,161.7851794,17.37206072,3.663184609,776.2976793
24,1.339968957,59.23014535,15.38425552,2.260108788,552.2620698,0.613722087,68.82853275,55.6114863,1.643461081,673.4353084
25,1.159034649,119.0366519,72.89683792,4.897207555,431.6481001,0.578662868,144.5207246,89.2554348,3.475373641,225.5823901
26,0.355483155,102.012978,25.44019146,1.348477403,760.8285959,1.448298884,234.4856661,65.68825993,4.229566679,384.2457394
27,0.979985172,61.28985767,22.01003823,2.576067186,48.7081285,0.861935427,209.6799774,81.07654172,1.662492541,444.7114069
28,1.205035281,130.1312823,9.570591246,2.150455908,337.6941729,1.014538698,201.7603588,29.49064476,2.782806385,90.67210289
29,0.952568428,189.7124055,35.93310845,1.168885305,663.4594161,0.892116543,105.3436217,20.92772061,3.546870735,142.5198828
30,0.339918095,244.5609538,22.4218557,4.598007991,61.55275518,1.081099505,124.5400743,17.25215946,4.781420197,528.026553
31,0.421435727,70.6222442,90.11746592,1.160931512,375.0893973,1.352082857,198.8076731,74.27523432,3.059099415,593.7443633
32,0.600265103,212.8176012,93.87129649,3.881915946,343.8666226,1.317799428,127.3402358,34.67332969,1.129516113,375.5667941
33,1.072818064,177.7669947,30.13908942,3.814221143,659.5742226,1.312361267,183.5604922,82.99443524,1.896035455,426.0056049
34,0.379822484,206.8515951,52.09568104,2.861932383,253.3481577,0.565880528,232.2455698,23.09220431,1.032259574,705.6409658
35,0.854227972,158.3932591,90.38810912,1.201368702,99.35168897,0.286185423,51.34643246,38.82075006,0.603869312,277.2547635
36,0.553074083,90.21364107,9.376504602,3.746912345,471.217073,1.199864491,125.2816809,49.62808458,4.362044418,146.8369272
37,0.107598021,71.9382741,57.36852664,3.447314858,482.9578994,0.206160042,142.4574558,86.92860478,1.468922697,377.5342936
38,1.408167652,200.5634092,55.06329971,2.251290822,260.3106029,1.225268013,110.920865,95.43471118,4.109424619,680.7357672
39,0.882179414,89.12400001,18.69266937,0.9862719,415.7692328,0.984744485,105.859075,4.517322159,1.192601505,739.5328331
40,0.786489881,231.365164,25.12840672,0.510809622,758.227919,0.899722599,221.0949265,37.08172586,4.75765063,327.1550312
41,1.356281989,247.0075833,41.39630724,0.87189225,714.3692273,0.924300432,204.4684334,10.41826639,1.984974135,465.4416731
42,0.748117496,186.2306544,39.44238771,0.642097295,394.2084481,0.725305134,217.5158694,70.90632711,3.136399882,465.0417294
43,1.281947874,155.8468673,57.72549999,1.871903562,339.8158485,1.101458233,184.5310327,16.49193669,4.207283087,778.4040318
44,0.713390397,87.62629244,66.39710959,4.929066035,579.1402943,0.17850585,133.677508,81.22914195,2.171875515,111.3833088
45,0.240078412,96.41931905,10.47514984,3.62779142,547.783061,1.360749301,229.6490365,88.39836288,3.404179601,280.6699374
46,1.294621415,213.0386173,72.22766621,3.955265234,386.8543137,0.413820194,64.36539584,89.00136643,3.717109582,412.6321293
47,0.503744321,82.84769703,56.59784452,4.794378135,593.8151041,0.619171082,168.5612452,56.6117757,1.942054178,515.8034976
48,1.093242172,204.9408732,6.753659049,1.764405002,501.8593767,0.930058331,114.7650476,37.15886227,4.478649547,588.7365345
49,1.493072986,171.9243341,32.90466545,4.627801814,544.8760297,0.926260178,115.3130591,9.346952095,1.373063606,502.8457063
50,0.928242814,225.822692,55.75832289,3.762052777,433.4675626,1.430430953,169.295216,50.19806123,4.339684675,367.5963011
51,0.118346919,62.1690141,68.92171869,3.042188955,625.4230599,0.454731673,76.44710621,11.03474709,3.347117607,727.2477128
52,0.29996879,217.9769993,50.59178101,1.021216497,461.9915088,0.496143286,83.1016626,66.70772242,1.775165978,401.0690253
53,0.224084852,217.1537583,9.663949913,4.357554417,159.3532283,1.33981575,153.9888803,68.16422909,4.751530918,419.7802499
54,1.198292924,98.80671675,6.791157831,3.902206655,275.656822,0.387383748,208.8525376,85.99324351,4.852386445,596.0735359
55,1.152921925,86.21449726,92.66392836,0.567515362,577.0274231,1.184083362,166.3696102,85.96496226,2.909149157,667.2054501
56,1.270924918,107.7659004,3.820880171,1.837518925,648.0965415,0.262761423,171.1549885,30.95390201,1.354411394,520.6479188
57,1.320722396,97.99830694,96.86039819,4.789182046,787.8630204,0.344212747,145.3825553,31.18426109,3.693318319,731.8332153
58,0.439489548,202.3558233,72.27799099,2.464569909,550.9402577,0.635203163,211.1654859,80.96547538,3.695061005,389.327135
59,1.416005763,182.2668633,17.43218425,2.882608101,355.9684441,0.220247132,156.3494157,82.72789676,2.40809311,54.81981871
60,0.39706535,190.9430016,37.12937994,2.770646479,125.69432,0.839805298,226.9189468,80.66111291,3.835066504,734.9475307
61,1.291791658,178.0701866,27.35663516,2.810201047,385.5287363,0.202071561,141.4325034,43.78056742,4.621754844,463.6243962
62,1.491439977,184.6727861,43.32535306,1.787173626,499.9688997,0.553672691,153.9583673,53.71404582,4.568058671,107.4074424
63,0.495176132,132.9841369,52.40872716,0.714416793,331.7362588,0.82540102,212.4757289,74.00206401,3.472595164,770.7887719
64,0.361705091,135.4323904,10.12968934,2.432589428,682.926546,1.362660778,43.64627,6.139912301,4.512556405,586.2906346
65,0.108672811,220.285758,65.61893946,0.690595137,420.1327547,1.247332333,194.1118945,29.69677588,3.400235392,783.3463259
66,1.477926404,172.0519456,66.58647197,4.771039095,52.88667445,0.605635619,130.1103007,39.74770763,2.074335279,466.2780834
67,0.570250635,146.5325587,93.97854181,3.822125743,569.8217114,1.103770523,113.7877254,76.65582001,2.638333548,240.2442972
68,0.52049813,174.7733493,87.88829134,2.555044767,526.0026309,0.766410567,58.80038654,8.25350644,1.657167458,518.3012539
69,1.266745117,178.2980366,44.77555375,4.238191073,409.6212659,1.308139009,145.269262,79.52977876,1.648161036,266.3211743
70,1.402120341,167.2921385,43.48978929,1.083368529,528.0182251,1.120272337,113.9332439,99.23886609,4.928534708,341.0038232
71,1.386135481,39.63436446,71.61816396,1.684212648,557.1383999,1.173938839,246.9061999,36.21460013,3.531499139,391.892146
72,0.216480712,193.650179,59.63307189,2.040197712,642.3677496,0.913763861,108.3840716,42.02142187,2.234292782,309.8208946
73,0.984303314,206.1355184,98.70202123,0.800940331,490.9461681,0.637553631,79.90255431,34.25547134,3.811312322,539.2406961
74,0.418827694,163.8878966,11.60059048,3.771690957,180.6114792,0.121499286,90.63654087,73.85784275,2.460744319,113.0977616
75,0.407525042,241.1683947,68.62302626,4.669379465,300.9806489,1.475729316,227.1307954,23.39981059,4.824254749,46.51803824
76,0.162412659,75.19519125,80.61596773,4.137717496,715.3452999,0.977363557,136.1810509,71.51454678,2.163835861,453.2377659
77,0.427397723,129.7121813,68.33967126,0.948249808,154.8110093,0.422598032,77.51252517,73.42015289,0.881665536,763.4348024
